Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTB	gene	ACTB	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Baraitser-Winter syndrome 1 243310;Thrombocytopenia 8, with dysmorphic features and developmental delay, MIM# 620475;ACTB-related neurodevelopment disorder				29220674		False	3	100;0;0	1.4452	True	Other	ENSG00000075624	ENSG00000075624	HGNC:132													
ACTC1	gene	ACTC1	Expert Review Green;Literature	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Atrial septal defect 5 MIM#612794;Cardiomyopathy, dilated, 1R MIM#613424;Cardiomyopathy, hypertrophic, 11 MIM#612098;ACTC1 related distal arthrogryposis MONDO:0019942				PMID: 36945405		False	3	100;0;0	1.4452	True		ENSG00000159251	ENSG00000159251	HGNC:143													
ACTG1	gene	ACTG1	Expert list;Expert Review Green	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Baraitser-Winter syndrome 2 MIM#614583;Deafness, autosomal dominant 20/26 MIM#604717				PMID: 29620237, 22366783, 25052316, 28493397, 26188271, 27240540, 13680526, 14684684, 16773128, 19477959, 19497859		False	3	100;0;0	1.4452	True	Other	ENSG00000184009	ENSG00000184009	HGNC:144													
ACTG2	gene	ACTG2	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Visceral myopathy, MIM#155310;Megacystis-microcolon-intestinal hypoperistalsis syndrome 5, MIM#	619431"						False	3	100;0;0	1.4452	True		ENSG00000163017	ENSG00000163017	HGNC:145													
ACTL6A	gene	ACTL6A	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental disorder, MONDO:0700092, ACTL6A-related				28649782;31994175		False	3	100;0;0	1.4452	True		ENSG00000136518	ENSG00000136518	HGNC:24124													
ACTL6B	gene	ACTL6B	Expert Review Green;Literature	Mendeliome			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	"Epileptic encephalopathy, early infantile, 76, MIM#	618468;Intellectual developmental disorder with severe speech and ambulation defects, MIM#	618470"				31134736;31031012;30656450;30237576		False	3	100;0;0	1.4452	True		ENSG00000077080	ENSG00000077080	HGNC:160													
ACTL7A	gene	ACTL7A	Expert list;Expert Review Green	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Spermatogenic failure 86, #MIM 620499				32923619;34727571;36593593;37004249;37991128;36574082;35921706		False	3	100;0;0	1.4452	True		ENSG00000187003	ENSG00000187003	HGNC:161													
ACTL9	gene	ACTL9	Expert Review Green;Literature	Mendeliome			BIALLELIC, autosomal or pseudoautosomal	Spermatogenic failure 53, MIM#619258;Fertilization failure;male infertility				PMID: 33626338		False	3	100;0;0	1.4452	True		ENSG00000181786	ENSG00000181786	HGNC:28494													
ACTN1	gene	ACTN1	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Bleeding disorder, platelet-type, 15, MIM# 615193				23434115		False	3	100;0;0	1.4452	True		ENSG00000072110	ENSG00000072110	HGNC:163													
ACTN2	gene	ACTN2	Expert Review Green;Victorian Clinical Genetics Services	Mendeliome			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Myopathy, distal, 6, adult onset MIM#618655;Cardiomyopathy, hypertrophic, 23, with or without LVNC MIM#612158;Cardiomyopathy, dilated, 1AA, with or without LVNC MIM#612158;Myopathy, congenital with structured cores and Z-line abnormalities MIM#618654				PMID: 34802252;27287556		False	3	67;33;0	1.4452	True		ENSG00000077522	ENSG00000077522	HGNC:164													
